"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.6432462613115","84.8148335344184","84.9527089439723","85.0978136512539","85.4475823449377","85.6957310749506","85.594354361217","85.4716351893483","85.5494538886095","85.743880684623","85.8953855285491","86.0434231953635","86.2440828802604","86.4313749060836","86.603093109516","86.760043076168","86.7458059366721","86.6291048874149","86.4954678000484","86.3964249478309","86.1019531284806","86.2795353914996","86.0201221258636","86.0112017017573","85.6669846297263","85.3039428388135","84.9756999123733","84.6367047857394","84.2246402810901","83.8435616860019","83.2241007519932","83.4843201051539","83.462266393725","86.1780962598674",
"Afghanistan","AFG","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.7162872591501","19.6573084224198","19.5544678088008","19.418106409824","19.241971573934","19.0413066043045","18.8212333137331","18.5788110461843","18.3316027172757","18.1007417414037","17.9162548634481","17.8027837580734","17.762102836524","17.7856390185157","17.8743718592965","18.0222462692201","18.2427833102231","18.5537054349749","18.9473017481632","19.3852526715714","19.8556969125258","20.3255671210455","20.7864159848154","22.2236630530629","23.7543620287041","25.3797737292187","27.1056064334799","28.9369354640945","27.7516251961444","26.3753998674313","24.6786516853933","21.7958625609321","7.34638661445354","7.3398544843592",
"Africa Western and Central","AFW","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.5931593620537","84.5336128127394","84.4843340901375","84.3226790672148","84.1935638264416","84.1138425599482","84.1162241049551","84.088688358616","84.0547976066355","84.0848432048735","84.2096319212444","84.3455286714448","84.6519459409239","84.7654761070267","84.9115005247891","84.9907159935451","85.0644265373471","85.2689918890576","85.3702182879207","85.5073282401811","85.6481050468722","85.8389725780234","85.9719381937463","85.9136595729347","85.8687171644787","85.6928446160616","85.2865400782277","85.1129436151395","84.9474764053418","84.8563682948278","84.3277092280252","84.8502593866757","84.7506109826623","87.7537908217512",
"Angola","AGO","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.6856839121191","95.469819853963","95.2717274779604","95.0937551159189","94.9405772495756","94.8670898007918","94.8634484145437","94.9055797228998","94.9791795091145","95.0614331033788","95.1595630756051","95.2711819523083","95.3829454233352","95.4961214847007","95.6009357020927","95.6790201561373","95.7351731122223","95.7693866180418","95.77423766589","95.7545676698869","95.7349031522978","93.6995456764165","93.7965790697382","93.8991607244273","94.0048417557068","94.1138281757195","94.2285071344551","94.3452686735847","94.4679533491588","94.5940691585878","94.6734701847103","95.6034813771919","93.6175928768806","93.4027246288076",
"Albania","ALB","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.9279348663219","70.992569354903","71.2669146158107","70.8819610977884","70.5710023786166","70.1471809604204","69.8843501909183","70.1952053864741","69.9329226557153","69.6166417372999","69.4643404587386","69.3053039558495","69.2335900256692","69.8738375027035","70.5907521614683","71.3862612952945","72.2659396492967","73.2341534744739","74.2960218090403","71.2933802882452","73.2540861812779","77.7196173239291","74.8203528728251","71.2648729592916","69.4362392784368","73.3243070793843","76.6623127160968","74.509745172357","76.119049381802","77.8336568437151","77.5605271222801","78.4218003748262","78.2252489446512","78.2640032948929",
"Andorra","AND","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.6622325000905","26.8084121134187","27.3800349525031","27.1134304349302","27.6300424376951","27.5423709155044","27.6209749196282","27.5004112746483","27.4932698920096","27.9851647689336","28.3410062566819","28.5915525956459","27.9270466148665","28.1938173998651","28.4050240944505","28.6436415272105","29.0134516805131","29.9521782789221","29.466997830674","30.0020853800096","30.0259525194445","30.2096076209801","30.1995006484079","30.4822035999543","30.7992538911989","31.3151120502791","31.6114002883278","30.8682959454743","29.5806541583236","28.9372488879278","29.2451195394103","29.3916098765107","29.1238592435579","29.6788631755598",
"United Arab Emirates","ARE","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.6746671416485","33.3374077695795","33.6788368049788","34.123175805067","34.0475356736409","33.98773139588","34.7050874057282","35.5491265895191","36.3595072450924","37.1298202659841","37.8610556379905","38.5083747797578","39.1066980964241","39.6531881459841","40.1363686352139","40.610461941684","41.6707435069524","42.9679943487475","44.439594972067","45.9119704006236","47.0045375830246","47.9735480914031","49.001741780971","50.0929458957049","51.2034321711741","52.3052878353738","53.2818908886267","55.2732403538286","55.4454589659085","59.3236609577834","65.4590459045905","55.9235612308238","59.422318788639","59.7652975691534",
"Argentina","ARG","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.684076885632","58.5654861101999","60.458892518399","62.3602207627063","63.9384946688376","64.4221319095811","65.6945163817948","67.1244294502878","67.9079304186785","67.6616385054102","67.5855983528751","66.9957306972297","65.5148346835997","66.2283315276273","66.9628616997038","65.7903199871362","66.742706851668","66.0927152317881","65.4394946084305","66.4759101809462","65.0476034590938","64.8107596647743","65.5969313931584","65.395121549464","65.8519310622578","66.451215758695","67.0660201837966","67.6939245036498","69.7442738341895","70.4413857229399","70.5134622677285","70.9526229600768","72.5903740920605","73.6086400533748",
"Armenia","ARM","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.5578735687219","80.5781613919715","80.5443243391919","80.4292178052054","80.2804337524043","80.1598673859294","80.1402266288952","80.1507645303599","80.1846958120296","80.2895082109027","80.4010293182212","80.4432382224028","80.4279292428046","80.397852301734","80.3567745926995","80.3120060273892","80.2753786086134","80.2528392727917","80.3208224398458","80.182209177298","80.2113338640805","80.261388772427","80.3434507103382","80.3622759248292","80.4070035767855","80.4573535129531","80.3820741166331","80.6151367370132","80.6632777961782","82.8334479202475","84.9431901588327","84.3142927400807","82.6652126499455","82.9804334166265",
"American Samoa","ASM","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.0722057891401","69.5825421870403","70.0084824494082","70.25090578481","71.4169491525424","72.5896974696726","73.0717570922708","73.3711629178916","73.7652244359921","74.233171216978","75.6230615861763","76.6083333333333","76.9642534377042","78.1627640869638","77.8716334138475","79.0182281566846","79.6101202820407","80.064729376119","80.6093535075653","81.2392046318175","80.9972115623533","81.5608824424945","81.9252781529807","82.1857816457024","82.6374616402489","83.1052602000674","83.9924750346545","84.5827859473662","85.1549089681178","85.5829168304599","85.8110034207526","86.5340074567846","87.4815740337774","87.441821342455",
"Austria","AUT","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.7810654280635","62.387615957462","64.2264484489051","65.2454189417112","68.3729589154007","69.5080189486901","69.4155209112351","70.0374477473293","70.8301897742441","70.9396264659042","71.262746010735","72.1365931437683","73.721597176263","73.9401789919925","76.0232053092776","77.2687224669604","77.9471590823163","78.1787787877431","78.9723674383869","80.1818127358773","80.605805637358","81.3604826546003","82.0402320500264","82.41097788757","83.0736791007418","83.1619342312826","83.4599957779185","83.5577561741441","83.1198824270418","83.4245010819909","83.9908745247148","83.654500113353","83.9623068224651","84.3973990624527",
