Year,"Total, total","Total, male","Total, female","White, total","White, male","White, female","Black or African American, total","Black or African American, male","Black or African American, female","Asian, total","Asian, male","Asian, female","Hispanic or Latino ethnicity, total","Hispanic or Latino ethnicity, male","Hispanic or Latino ethnicity, female"
1972,60.4,78.9,43.9,60.4,79.6,43.2,59.9,73.6,48.7,-,-,-,-,-,-
1973,60.8,78.8,44.7,60.8,79.4,44.1,60.2,73.4,49.3,-,-,-,60.2,81.5,41.0
1974,61.3,78.7,45.7,61.4,79.4,45.2,59.8,72.9,49.0,-,-,-,61.1,81.7,42.4
1975,61.2,77.9,46.3,61.5,78.7,45.9,58.8,70.9,48.8,-,-,-,60.8,80.7,43.2
1976,61.6,77.5,47.3,61.8,78.4,46.9,59.0,70.0,49.8,-,-,-,60.8,79.6,44.3
1977,62.3,77.7,48.4,62.5,78.5,48.0,59.8,70.6,50.8,-,-,-,61.6,80.9,44.3
1978,63.2,77.9,50.0,63.3,78.6,49.4,61.5,71.5,53.1,-,-,-,62.9,81.1,46.6
1979,63.7,77.8,50.9,63.9,78.6,50.5,61.4,71.3,53.1,-,-,-,63.6,81.3,47.4
1980,63.8,77.4,51.5,64.1,78.2,51.2,61.0,70.3,53.1,-,-,-,64.0,81.4,47.4
1981,63.9,77.0,52.1,64.3,77.9,51.9,60.8,70.0,53.5,-,-,-,64.1,80.6,48.3
1982,64.0,76.6,52.6,64.3,77.4,52.4,61.0,70.1,53.7,-,-,-,63.6,79.7,48.1
1983,64.0,76.4,52.9,64.3,77.1,52.7,61.5,70.6,54.2,-,-,-,63.8,80.3,47.7
1984,64.4,76.4,53.6,64.6,77.1,53.3,62.2,70.8,55.2,-,-,-,64.9,80.6,49.6
1985,64.8,76.3,54.5,65.0,77.0,54.1,62.9,70.8,56.5,-,-,-,64.6,80.3,49.3
1986,65.3,76.3,55.3,65.5,76.9,55.0,63.3,71.2,56.9,-,-,-,65.4,81.0,50.1
1987,65.6,76.2,56.0,65.8,76.8,55.7,63.8,71.1,58.0,-,-,-,66.4,81.0,52.0
1988,65.9,76.2,56.6,66.2,76.9,56.4,63.8,71.0,58.0,-,-,-,67.4,81.9,53.2
1989,66.5,76.4,57.4,66.7,77.1,57.2,64.2,71.0,58.7,-,-,-,67.6,82.0,53.5
1990,66.5,76.4,57.5,66.9,77.1,57.4,64.0,71.0,58.3,-,-,-,67.4,81.4,53.1
1991,66.2,75.8,57.4,66.6,76.5,57.4,63.3,70.4,57.5,-,-,-,66.5,80.3,52.4
1992,66.4,75.8,57.8,66.8,76.5,57.7,63.9,70.7,58.5,-,-,-,66.8,80.7,52.8
1993,66.3,75.4,57.9,66.8,76.2,58.0,63.2,69.6,57.9,-,-,-,66.2,80.2,52.1
1994,66.6,75.1,58.8,67.1,75.9,58.9,63.4,69.1,58.7,-,-,-,66.1,79.2,52.9
1995,66.6,75.0,58.9,67.1,75.7,59.0,63.7,69.0,59.5,-,-,-,65.8,79.1,52.6
1996,66.8,74.9,59.3,67.2,75.8,59.1,64.1,68.7,60.4,-,-,-,66.5,79.6,53.4
1997,67.1,75.0,59.8,67.5,75.9,59.5,64.7,68.3,61.7,-,-,-,67.9,80.1,55.1
1998,67.1,74.9,59.8,67.3,75.6,59.4,65.6,69.0,62.8,-,-,-,67.9,79.8,55.6
1999,67.1,74.7,60.0,67.3,75.6,59.6,65.8,68.7,63.5,-,-,-,67.7,79.8,55.9
2000,67.1,74.8,59.9,67.3,75.5,59.5,65.8,69.2,63.1,67.2,76.1,59.2,69.7,81.5,57.5
2001,66.8,74.4,59.8,67.0,75.1,59.4,65.3,68.4,62.8,67.2,76.2,59.0,69.5,81.0,57.6
2002,66.6,74.1,59.6,66.8,74.8,59.3,64.8,68.4,61.8,67.2,75.9,59.1,69.1,80.2,57.6
2003,66.2,73.5,59.5,66.5,74.2,59.2,64.3,67.3,61.9,66.4,75.6,58.3,68.3,80.1,55.9
2004,66.0,73.3,59.2,66.3,74.1,58.9,63.8,66.7,61.5,65.9,75.0,57.6,68.6,80.4,56.1
2005,66.0,73.3,59.3,66.3,74.1,58.9,64.2,67.3,61.6,66.1,74.8,58.2,68.0,80.1,55.3
2006,66.2,73.5,59.4,66.5,74.3,59.0,64.1,67.0,61.7,66.2,75.0,58.3,68.7,80.7,56.1
2007,66.0,73.2,59.3,66.4,74.0,59.0,63.7,66.8,61.1,66.5,75.1,58.6,68.8,80.5,56.5
2008,66.0,73.0,59.5,66.3,73.7,59.2,63.7,66.7,61.3,67.0,75.3,59.4,68.5,80.2,56.2
2009,65.4,72.0,59.2,65.8,72.8,59.1,62.4,65.0,60.3,66.0,74.6,58.2,68.0,78.8,56.5
2010,64.7,71.2,58.6,65.1,72.0,58.5,62.2,65.0,59.9,64.7,73.2,57.0,67.5,77.8,56.5
2011,64.1,70.5,58.1,64.5,71.3,58.0,61.4,64.2,59.1,64.6,73.2,56.8,66.5,76.5,55.9
2012,63.7,70.2,57.7,64.0,71.0,57.4,61.5,63.6,59.8,63.9,72.2,56.5,66.4,76.1,56.6
2013,63.2,69.7,57.2,63.5,70.5,56.9,61.2,63.5,59.2,64.6,73.0,57.1,66.0,76.3,55.7
2014,62.9,69.2,57.0,63.1,69.8,56.7,61.2,63.6,59.2,63.6,72.4,55.8,66.1,76.1,56.0
2015,62.7,69.1,56.7,62.8,69.7,56.2,61.5,63.8,59.7,62.8,71.4,55.2,65.9,76.2,55.7
2016,62.8,69.2,56.8,62.9,69.8,56.3,61.6,64.1,59.4,63.2,72.1,55.5,65.8,76.0,55.8
2017,62.9,69.1,57.0,62.8,69.5,56.4,62.3,64.6,60.3,63.6,71.9,56.4,66.1,75.8,56.4
2018,62.9,69.1,57.1,62.8,69.5,56.4,62.3,64.8,60.2,63.5,71.6,56.4,66.3,75.7,57.0
2019,63.1,69.2,57.4,63.0,69.6,56.8,62.5,64.8,60.5,64.0,71.8,57.1,66.8,75.9,57.7
2020,61.7,67.7,56.2,61.8,68.2,55.7,60.5,62.6,58.8,62.7,70.9,55.5,65.6,74.9,56.4
2021,61.7,67.6,56.1,61.5,67.9,55.4,60.9,63.5,58.8,63.8,71.8,56.8,65.5,75.4,55.8
